Model variable conv1/wcenter:0, 1088 parameters
Model variable conv1/w:0, 27200 parameters
Model variable rconv1/norm1/beta:0, 64 parameters
Model variable rconv1/w1:0, 36864 parameters
Model variable rconv1/norm2/beta:0, 64 parameters
Model variable rconv1/w2:0, 36864 parameters
Model variable rconv2/norm1/beta:0, 64 parameters
Model variable rconv2/w1:0, 36864 parameters
Model variable rconv2/norm2/beta:0, 64 parameters
Model variable rconv2/w2:0, 36864 parameters
Model variable rconv3/norm1/beta:0, 64 parameters
Model variable rconv3/w1:0, 36864 parameters
Model variable rconv3/norm2/beta:0, 64 parameters
Model variable rconv3/w2:0, 36864 parameters
Model variable rconv4/norm1/beta:0, 64 parameters
Model variable rconv4/w1a:0, 27648 parameters
Model variable rconv4/w1b:0, 9216 parameters
Model variable rconv4/norm1b/beta:0, 16 parameters
Model variable rconv4/w1r:0, 1536 parameters
Model variable rconv4/norm2/beta:0, 48 parameters
Model variable rconv4/w2:0, 27648 parameters
Model variable rconv5/norm1/beta:0, 64 parameters
Model variable rconv5/w1:0, 36864 parameters
Model variable rconv5/norm2/beta:0, 64 parameters
Model variable rconv5/w2:0, 36864 parameters
Model variable trunk/norm/beta:0, 64 parameters
Model variable p1/intermediate_conv/w:0, 18432 parameters
Model variable g1/w:0, 9216 parameters
Model variable g1/norm/beta:0, 16 parameters
Model variable matmulg2w:0, 1024 parameters
Model variable p1/norm/beta:0, 32 parameters
Model variable p2/w:0, 32 parameters
Model variable matmulpass:0, 32 parameters
Model variable v1/w:0, 6912 parameters
Model variable v1/norm/beta:0, 12 parameters
Model variable v2/w:0, 144 parameters
Model variable v2/b:0, 12 parameters
Model variable v3/w:0, 12 parameters
Model variable v3/b:0, 1 parameters
Built model, 425829 total parameters
Began session
Exported at:
2018-10-07 01:22:29.979693 UTC
