#File contains first 16 digits of sha256 hash, then next 16 digits of sha256 hash.

#These are a bunch of computer games in GoGoD. The ones pre-2014 are very weak. The ones in 2014-2015 are
#mostly stronger but not quite pro. We exclude all of them.
db3223b5a2f6d06a,1fa2f076e203ba24 #GoGoDSummer2017/2014/2014-10-11p.sgf
e536c9b04bf8a5be,61bf6637f100bc1f #GoGoDSummer2017/2014/2014-10-25a.sgf
bd6a2ebacf45de7d,e1f9dc42b4e46a78 #GoGoDSummer2017/2014/2014-03-21j.sgf
437d9b7c70b0fe40,dd9e6e1052c251fb #GoGoDSummer2017/2014/2014-10-18b.sgf
8427c777f8b4a40e,a8b424baa3ca4b55 #GoGoDSummer2017/2014/2014-10-04a.sgf
50e9b25fd08970b7,244bcd21ad2857b7 #GoGoDSummer2017/2014/2014-03-21i.sgf
a327082415961d10,e7afa21f4b0929c4 #GoGoDSummer2017/1992/1992-05-19a.sgf
b05e642c4be7cdeb,50e4c73fe52ebf32 #GoGoDSummer2017/1992/1992-10-31a.sgf
623897585b7a6fd5,1b8071be78fb0089 #GoGoDSummer2017/1992/1992-05-19b.sgf
2b427abfd7069db6,ae9ab03e4ac1228b #GoGoDSummer2017/1992/1992-05-19c.sgf
9414376ca6092ac4,2792aaf633b72854 #GoGoDSummer2017/2008/2008-12-14a.sgf
d37b3065d9c502c5,583bdfcfe38c1d59 #GoGoDSummer2017/1993/1993-06-22a.sgf
cd700c5b4d2bf455,0875ef4e097748f3 #GoGoDSummer2017/1993/1993-06-22l.sgf
05aac7b8fe310dcd,bbdbd35bb416cb48 #GoGoDSummer2017/1993/1993-06-22b.sgf
43cd224347b721c9,142ccf033a029325 #GoGoDSummer2017/2000/2000-08-19b.sgf
3e1aeb81e41d55f8,871c240d304cbd9b #GoGoDSummer2017/2003/2003-08-03d.sgf
c911f90f31024dd4,b87387450bafcd94 #GoGoDSummer2017/2010/2010-10-02d.sgf
3124dd58251aa6cd,47931a91323ee0e8 #GoGoDSummer2017/2010/2010-07-28a.sgf
d756da4559fbf870,e9d292389b19270a #GoGoDSummer2017/2009/2009-02-14a.sgf
6319b0e55de5f012,26a380ca887e1569 #GoGoDSummer2017/2009/2009-08-10a.sgf
e6de9610ebe4578a,43c09d9d484b9e39 #GoGoDSummer2017/1999/1999-11-14c.sgf
dfdde47cb3562acd,439e2d18e9f9007a #GoGoDSummer2017/1999/1999-09-04a.sgf
d36ae79776dab4ac,10dd36d13ffafb03 #GoGoDSummer2017/1998/1998-08-29e.sgf
090b6745f9332af9,989801591f162db8 #GoGoDSummer2017/1998/1998-08-23c.sgf
b2fb9be66f1ffae3,015142a687d637f5 #GoGoDSummer2017/1998/1998-08-29d.sgf
21476262c45f82b6,f2c197295b1cfb1c #GoGoDSummer2017/1998/1998-08-29h.sgf
656c4de285cc3006,7a8ceb4a0d77ac34 #GoGoDSummer2017/1998/1998-08-29g.sgf
01adca4fa03c19c4,458de4384eeb09ad #GoGoDSummer2017/1998/1998-08-28a.sgf
30968ae30f2d7410,68ad3aaa7510d751 #GoGoDSummer2017/1998/1998-08-29f.sgf
1dae5a9bdd0a58ad,445577cc5c56b0fe #GoGoDSummer2017/2015/2015-03-17n.sgf
f98d4d4cf429f112,dc0c4276af0dc06f #GoGoDSummer2017/2015/2015-03-15f.sgf
c2ac499f52c92152,89824672054c149d #GoGoDSummer2017/2015/2015-10-10g.sgf
a5e49a51d25cab60,8d665e55723cba96 #GoGoDSummer2017/2015/2015-08-03g.sgf
16f5240117df21dc,0cf6916a8143375e #GoGoDSummer2017/2015/2015-08-03i.sgf
fbca330943217517,4d77d12ee2d684ca #GoGoDSummer2017/2015/2015-05-31k.sgf
c0f5f06dc8183a0e,779e106cb5f54bdc #GoGoDSummer2017/2015/2015-11-14q.sgf
a456627e38e4fe7b,6fb9887940785b89 #GoGoDSummer2017/2015/2015-11-15a.sgf
3207dee5f321a795,48557f881dbdabb8 #GoGoDSummer2017/2015/2015-03-15h.sgf
9b259711f4437ff4,e419521e8df27a50 #GoGoDSummer2017/2015/2015-07-29ad.sgf
7b49205512c00f74,21260920038d424e #GoGoDSummer2017/2015/2015-11-15b.sgf
81d3f29c378d2f2b,e424a01259cd5e0c #GoGoDSummer2017/2015/2015-03-00b.sgf
5fc2822b34acb706,e02806a1e0e1e6ba #GoGoDSummer2017/2015/2015-03-15g.sgf
3efabb82115bd66c,fce172c6a508c297 #GoGoDSummer2017/2015/2015-08-03h.sgf

4d5323dd287fe81c,bcfcde52200284d8 #GoGoDSummer2017/2010/2010-12-29c.sgf
980a69d0402a062d,ff7210f75b5b30f0 #GoGoDSummer2017/2017/2017-03-18n.sgf
d755d3a927931751,d3d710def3ee481e #GoGoDSummer2017/2010/2010-12-28b.sgf
d756da4559fbf870,e9d292389b19270a #GoGoDSummer2017/2009/2009-02-14a.sgf
