#File contains first 16 digits of sha256 hash, then next 16 digits of sha256 hash.
#A bunch of possibly-kyu-level gogod games
02a81cccaccebcbf,66d7b6101a380177 #GoGoDSummer2017/2013/2013-09-01k.sgf
02c87ce2c8530c40,6f6ce794f8ab76d4 #GoGoDSummer2017/2016/2016-06-05ab.sgf
0370f5bf8d60777d,b830b7ce7b939c7a #GoGoDSummer2017/1992/1992-10-00d.sgf
05b5c47cfe02536d,133c5d974abeadb1 #GoGoDSummer2017/1995/1995-07-02a.sgf
096f62db31df2b61,a2b6dffb01ef2a17 #GoGoDSummer2017/1970-75/1972-09-04c.sgf
0ba7a6d425b06618,cc44f55914101f36 #GoGoDSummer2017/1996/1996-07-02b.sgf
0c041fac41002b25,4850afe2322d6cfa #GoGoDSummer2017/1930-39/1937-00-00k.sgf
0d7848ba09c10715,2047f1943a991841 #GoGoDSummer2017/1985/1985-07-21b.sgf
0e5ad030b87303e6,c7f34daa9037eb0e #GoGoDSummer2017/1950-59/1953-08-00c.sgf
0e5bb6ef00db630d,73cadd9eaff4f1e5 #GoGoDSummer2017/1950-59/1954-12-00b.sgf
100464df36660bd2,bea3e41e88b6ed89 #GoGoDSummer2017/1996/1996-11-17c.sgf
1145c2bd9bc68278,4d55bcd3725e267e #GoGoDSummer2017/1991/1991-03-03e.sgf
115b4236b29d747f,ba15d638cb0a8bab #GoGoDSummer2017/2015/2015-06-07h.sgf
123942714565f889,59ec12d79048c057 #GoGoDSummer2017/1950-59/1958-12-00c.sgf
125fdae841edfd1e,24e75155911e078b #GoGoDSummer2017/1988/1988-10-00e.sgf
14660fa5d692eca7,c498b8f80f2dc97b #GoGoDSummer2017/1970-75/1972-00-00c.sgf
14f66eb46f2dc090,ad74ff0f2b666c15 #GoGoDSummer2017/1983/1983-04-24a.sgf
181cd67bffd411d2,d2e1404efd9444ea #GoGoDSummer2017/1993/1993-07-26a.sgf
1885fe2bea3761f6,1a042b87fc93f4a6 #GoGoDSummer2017/2016/2016-06-07l.sgf
196c9ea48a969595,2f01e7b1b751cb2e #GoGoDSummer2017/1950-59/1954-08-00c.sgf
1a6e4140aa75f4cd,4befab53e10c75d2 #GoGoDSummer2017/1996/1996-10-27p.sgf
23c48ae61a6de912,5dbdb2ad6b31084f #GoGoDSummer2017/1960-69/1966-05-15b.sgf
267bebe90bdff63e,714fdad94ad337c5 #GoGoDSummer2017/1997/1997-02-24c.sgf
2b9ade6bdaf2a052,172acd1b5ce3347b #GoGoDSummer2017/2011/2011-05-29c.sgf
2c25cf49e8343f12,f01cbbb0d3359b6b #GoGoDSummer2017/2005/2005-10-01e.sgf
2d90df4c808bb69d,0291fdb9687599bd #GoGoDSummer2017/1970-75/1971-01-16a.sgf
30be3c968e262fad,1c56ce21f2086eb3 #GoGoDSummer2017/2013/2013-09-02t.sgf
3223cb1bb54b3bbd,170f58e5ebbfc99d #GoGoDSummer2017/1960-69/1965-10-23a.sgf
359471ed1ee80cc3,0441b62d35daa4dd #GoGoDSummer2017/1994/1994-07-02f.sgf
391b39d8dd3ffdf4,2e6d256a17252c97 #GoGoDSummer2017/1996/1996-08-14b.sgf
3979e1787efb0abe,80c7d765d7619a21 #GoGoDSummer2017/2013/2013-09-02u.sgf
39e68ed6bcf6fb5c,2f2f3056314da56a #GoGoDSummer2017/1950-59/1958-10-00b.sgf
3c8f7cca02948caa,197c785b20429226 #GoGoDSummer2017/1960-69/1962-08-01a.sgf
3f87a5e086a93607,3ee3c6c1e82c6605 #GoGoDSummer2017/2013/2013-09-02k.sgf
4035edcb7b38abd0,caf9067abbbe26ec #GoGoDSummer2017/1950-59/1959-04-00d.sgf
452326863bc82646,ffd399d0044ea499 #GoGoDSummer2017/2013/2013-09-01h.sgf
455893489a1bfd78,e44bbd6564439ba5 #GoGoDSummer2017/1970-75/1970-05-00a.sgf
458f6c5e4efb5a4d,0c33a34220adade1 #GoGoDSummer2017/1988/1988-07-26e.sgf
478bb6cf4e3166cc,6aeedbdeab556dcd #GoGoDSummer2017/1950-59/1954-04-21a.sgf
47ab3a95468a4132,36c98a6cca350ef4 #GoGoDSummer2017/1960-69/1966-11-00a.sgf
485c25dfc5696181,0e2ef0e1a8743612 #GoGoDSummer2017/1950-59/1956-05-00b.sgf
